Time,Wuhan,Beijing,Shanghai,Tianjing,Guangzhou,Shenzhen,Chongqing,Zhengzhou,Chengdu,Hangzhou
0,27,0,0,0,0,0,0,0,0,0
1,41,0,0,0,0,0,0,0,0,0
2,41,0,0,0,0,0,0,0,0,0
3,41,0,0,0,0,0,0,0,0,0
4,41,0,0,0,0,0,0,0,0,0
5,41,0,0,0,0,0,0,0,0,0
6,41,0,0,0,0,0,0,0,0,0
7,41,0,0,0,0,0,0,0,0,0
8,41,0,0,0,0,0,0,0,0,0
9,41,0,0,0,0,0,0,0,0,0
10,41,0,0,0,0,0,0,0,0,0
11,41,0,0,0,0,0,0,0,0,0
12,41,0,0,0,0,0,0,0,0,0
13,41,0,0,0,0,0,0,0,0,0
14,41,0,0,0,0,0,0,0,0,0
15,41,0,0,0,0,0,0,0,0,0
16,45,0,0,0,0,0,0,0,0,0
17,62,0,0,0,0,0,0,0,0,0
18,121,0,0,0,0,0,0,0,0,0
19,198,0,0,0,0,0,0,0,0,0
20,258,5,0,0,0,0,0,0,0,0
21,303,10,9,2,0,0,5,0,0,0
22,365,14,16,4,0,0,6,0,0,0
23,495,26,20,5,0,0,27,0,0,0
24,572,36,33,8,0,0,57,0,0,0
25,618,54,40,13,0,0,75,0,0,0
26,698,80,53,23,41,36,110,29,33,27
27,1590,80,66,24,51,49,132,37,37,32
28,1905,91,80,24,51,57,132,37,37,32
29,2261,114,101,29,79,86,165,46,59,69
30,2639,132,135,32,106,110,206,50,69,85
31,3215,168,169,37,150,170,247,56,72,98
32,4109,179,177,45,175,196,262,65,73,110
33,5142,191,193,48,189,226,300,72,77,118
34,6384,212,208,60,216,269,337,85,87,132
35,8351,228,233,67,237,289,366,92,92,141
36,10117,253,254,69,255,314,389,102,97,151
37,11618,274,269,79,284,334,411,112,102,156
38,13603,297,281,81,298,351,426,120,109,162
39,14982,315,292,88,304,364,446,126,120,165
40,16902,326,295,91,307,366,468,130,123,155
41,18454,337,302,100,317,375,486,132,124,157
42,19558,342,306,106,323,386,505,137,125,159
43,32994,352,313,112,323,386,518,141,131,162
44,35991,366,318,119,328,400,529,142,135,165
45,37914,372,326,121,335,406,537,144,139,166
46,39462,380,328,122,338,414,544,148,140,166
47,41152,381,331,124,339,415,551,151,140,168
48,42752,381,333,125,339,416,553,154,140,168
49,44412,393,333,128,339,416,555,156,141,168
50,45027,395,333,130,339,416,560,156,141,169
51,45346,396,334,131,339,416,567,157,143,169
52,45346,396,334,131,339,416,567,157,143,169
53,46201,399,335,135,345,417,573,157,143,169
